vestiging;vestiging id;hoofdcategorie;subcategorie;artikel id;artikelnummer;omschrijving;type;merk;kleur;afmeting;volume;opmerkingen;afbeelding;aantal;totaal;
UTS;9;Meubilair;;18;115;Bureau recht;;Ahrend;Licht beuken;B=160cm, D=80cm;1;;SONA115.jpg;32;32;
UTS;9;Meubilair;;20;117;Stoel vergaderopstelling;;Vitra;Zwart/zilver;;0.2;;SONA117.jpg;12;12;
UTS;9;Meubilair;;21;118;Bureaustoel gestoffeerd;;Vitra;Zwart;;0.2;;;4;4;
UTS;9;Meubilair;;22;119;Bureaustoel leer;;Vitra;Zwart;;0.2;;SONA119.jpg;1;1;
UTS;9;Meubilair;;23;120;Prullenbak;;;Grijs;;0.05;;SONA120.jpg;26;26;
UTS;9;Meubilair;;24;121;Papierbak;;;Wit;;0.05;;SONA121.jpg;26;26;
UTS;9;Meubilair;;25;122;Stoel leer;;Vitra;Paars;;0.2;;;4;4;
UTS;9;Meubilair;;27;124;Lage roldeurkast;;Ahrend;;B=45cm, H=70cm, D=31cm;0.3;;SONA124.jpg;5;5;
UTS;9;sony;marcom;30;127;Vaio notebook display;;Sony;Zwart;L=40 cm, B=50 cm, H=115 cm;0;;SONA127.jpg;2;2;
UTS;9;Meubilair;;31;128;Glazen tafel vergaderopstelling;;Vitra;;;1.5;;;1;1;
UTS;9;Meubilair;;32;129;Schaamschot klein;;;Grijs;B=81cm, H=53 cm;0.15;;;18;18;
UTS;9;Meubilair;;33;130;Schaamschot groot;;;;B=154 cm, H=53 cm;0.3;;;7;7;
UTS;9;Meubilair;;34;131;Halfhoge roldeurkast lichtbeuken;;Ahrend;Licht beuken;B= 120 cm, H= 144 cm, D=45 cm;0.5;;;1;1;
UTS;9;Meubilair;;35;132;Halfhoge roldeurkast donkerbeuken;;Ahrend;Donker beuken;B=120 cm, H=144 cm, D=45 cm;0.5;;;1;1;
